"STR_ID","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Tree12","Tree13","Tree14","Tree15","Tree16","Tree17"
90045,0,0,0,0,4,13,0,0,0,0,4,13
90046,0,0,1,20,2,51,0,0,1,37,14,52
90047,0,0,0,0,0,1,0,0,0,0,0,1
90048,0,0,26,0,24,61,0,0,39,0,26,87
90049,0,0,2,1,4,22,0,0,2,1,4,22
90050,0,0,32,65,2,1,0,0,39,74,3,1
90051,0,0,1,0,2,0,0,0,4,0,2,0
90052,0,0,1,3,0,0,0,0,1,4,0,0
90053,0,0,2,0,1,0,0,0,3,0,1,0
90054,0,0,0,10,12,0,0,0,0,12,13,0
90055,0,0,0,1,0,0,0,0,0,2,0,0
90057,0,0,0,28,12,0,0,0,0,31,12,0
90061,0,0,2,9,0,0,0,0,2,10,0,0
90062,0,0,0,9,2,7,0,0,0,12,2,7
90063,0,0,0,9,5,11,0,0,0,9,5,12
90064,0,0,0,24,0,12,0,0,0,28,0,14
90065,0,0,1,5,16,60,0,0,1,5,16,66
90066,0,0,0,29,4,6,0,0,0,32,4,6
90067,2,1,2,7,9,13,4,1,2,7,18,31
90068,0,0,1,9,24,33,0,0,1,13,25,40
90069,0,0,0,2,13,13,0,0,0,2,15,17
90071,0,0,0,1,0,0,0,0,0,1,0,0
90072,0,0,3,1,4,3,0,0,6,1,4,4
90073,0,0,0,0,3,4,0,0,0,0,3,5
90074,0,0,0,0,2,2,0,0,0,0,2,2
90083,0,0,0,0,0,1,0,0,0,0,0,1
90125,0,0,1,0,0,0,0,0,1,0,0,0
90127,0,0,2,0,0,0,0,0,3,0,0,0
90144,0,0,0,0,8,0,0,0,0,0,13,0
90145,0,0,0,1,0,0,0,0,0,1,0,0
90146,0,0,0,0,6,0,0,0,0,0,6,0
90159,2,0,0,0,1,2,4,0,0,0,1,2
90169,0,0,3,0,23,2,0,0,3,0,35,2
90170,0,0,1,0,2,0,0,0,1,0,2,0
90171,0,0,0,0,1,0,0,0,0,0,2,0
90174,0,0,0,0,10,0,0,0,0,0,16,0
90175,0,0,0,0,1,0,0,0,0,0,1,0
90194,0,2,0,0,4,4,0,4,0,0,4,5
90204,0,0,0,0,3,2,0,0,0,0,3,2
90206,1,0,0,0,0,0,1,0,0,0,0,0
90209,0,0,7,1,11,0,0,0,7,1,11,0
90211,0,0,0,0,25,18,0,0,0,0,28,21
90212,0,0,0,1,0,0,0,0,0,1,0,0
90213,0,0,1,1,7,0,0,0,1,1,7,0
90238,0,2,1,0,17,0,0,2,10,0,18,0
90240,0,0,1,0,0,1,0,0,8,0,0,1
90241,1,0,3,2,9,9,9,0,5,3,10,12
90242,0,1,0,0,3,3,0,1,0,0,3,3
90244,0,0,0,0,24,1,0,0,0,0,25,1
90245,0,0,0,0,6,4,0,0,0,0,6,4
90254,0,0,6,3,11,0,0,0,6,3,14,0
90255,0,0,9,2,9,0,0,0,10,2,9,0
90256,0,0,3,11,20,0,0,0,3,12,22,0
90257,0,0,0,0,14,0,0,0,0,0,15,0
90258,0,0,0,29,1,0,0,0,0,30,1,0
90259,0,0,1,0,0,0,0,0,1,0,0,0
90262,0,0,0,0,4,0,0,0,0,0,4,0
90276,0,2,0,0,0,0,0,4,0,0,0,0
90287,5,0,0,0,2,1,17,0,0,0,2,1
90288,0,0,0,0,1,0,0,0,0,0,1,0
90289,0,0,0,1,0,2,0,0,0,1,0,2
90290,1,0,0,0,0,0,1,0,0,0,0,0
90292,0,0,0,2,0,0,0,0,0,2,0,0
90293,0,0,1,10,0,0,0,0,1,13,0,0
90294,0,0,0,11,1,1,0,0,0,12,1,1
90295,0,0,0,1,0,0,0,0,0,1,0,0
90301,0,0,6,34,17,0,0,0,6,34,17,0
90302,0,0,1,0,10,0,0,0,1,0,11,0
90303,0,0,2,0,0,0,0,0,2,0,0,0
90304,0,0,0,0,0,1,0,0,0,0,0,1
90305,0,0,0,0,10,0,0,0,0,0,11,0
90306,0,0,1,0,1,0,0,0,1,0,1,0
90307,0,0,1,0,0,0,0,0,1,0,0,0
90335,0,0,0,1,0,0,0,0,0,1,0,0
90336,0,0,0,0,1,1,0,0,0,0,1,1
90346,0,0,5,9,0,13,0,0,5,9,0,16
90347,0,0,5,12,8,0,0,0,5,12,9,0
90348,0,0,1,1,5,0,0,0,1,1,5,0
90349,0,0,2,0,0,0,0,0,2,0,0,0
90350,0,0,1,5,0,0,0,0,1,5,0,0
90351,0,0,1,0,0,0,0,0,1,0,0,0
90352,0,0,0,0,5,0,0,0,0,0,5,0
90353,0,0,0,0,0,1,0,0,0,0,0,1
90358,0,1,0,0,0,0,0,1,0,0,0,0
90360,0,1,0,1,16,14,0,1,0,1,16,20
90361,0,0,0,2,2,0,0,0,0,5,15,0
90362,0,3,0,0,0,0,0,4,0,0,0,0
90389,0,1,0,7,0,0,0,1,0,9,0,0
90393,0,0,1,7,23,0,0,0,1,7,23,0
90394,0,0,3,0,0,0,0,0,3,0,0,0
90403,0,0,2,0,0,1,0,0,2,0,0,1
90404,0,0,0,0,0,1,0,0,0,0,0,1
