STR,ACP_ri12,ACP_ri13,ACP_ri14,ACP_ri15,ACP_ri16,ACP_ri17
92419,0.129144446,199.3465922,33.95550485,411.1609841,536.3426072,374.9061786
92814,0.080763699,199.2360055,80.34387433,410.2737282,291.8771294,223.6017704
92052,0.25440217,199.1640296,70.22704268,609.1583799,1834.356576,851.5480086
92132,0.087042531,198.9847972,56.85134687,442.3298539,918.0583667,362.5401957
91878,1.119321504,198.9455902,69.88947646,597.1789683,1593.307919,544.3000476
92669,0.232442325,198.3220265,98.2138983,568.3820768,451.981411,472.0565115
92212,0.100475646,198.1598994,46.63869257,428.3844799,804.0427604,339.2036892
127428,0.03554754,197.7630072,106.9548828,427.4928147,312.9715889,202.1173384
127403,0.055559945,197.6173843,133.7946726,306.9313784,251.3136528,197.2888855
91946,0.223372471,197.3154631,131.5988606,565.969431,715.7526509,209.3518009
92878,0.135391793,197.2953335,89.62115722,505.9865038,300.1243528,252.0375337
92872,0.543456751,197.1297938,75.31841126,552.9770847,397.3536146,358.6356003
92128,0.173594644,196.6721306,53.27184373,530.7719015,1287.930112,553.5773035
91886,0.594560864,196.6489751,59.37906296,1029.088258,2730.170947,1115.396287
92122,0.31897387,196.4575041,54.17279058,543.9675483,1182.974336,575.0377244
127406,0.024672583,195.7444993,99.39281027,343.606548,245.9132067,170.5104965
92488,0.064716246,195.7013165,49.77420632,377.6082443,401.6794041,319.7419322
91801,0,195.5891187,63.79634435,406.4676285,190.8913514,198.5590714
92934,0.317661741,195.4314645,91.04566936,501.0630016,567.1906776,542.6783778
127425,0.114283432,195.3270811,127.3961846,286.4270982,242.8646867,171.0923541
92492,0.047558189,195.0213561,77.01529674,313.4553425,397.7918074,278.4237143
92125,0.2770144,194.977813,52.44443015,553.0277172,1294.705309,665.1592025
92538,0.230805357,194.8276465,125.2220812,529.587149,500.0138084,356.6249365
127381,0.033749056,194.4489275,89.13449567,266.3854077,209.4858445,142.7062503
92126,0.234048559,193.862364,54.11255814,542.6043935,1316.011783,623.2920847
92868,0.491314546,193.5255685,88.08460053,494.8183108,450.776524,500.1512402
91875,0.612113963,193.3112754,76.1815543,594.4599465,1290.601431,387.4807014
127370,0,192.8337996,62.06290891,318.0759811,191.1000413,174.5481332
91976,0.308849966,192.706585,62.98458958,764.9373932,2360.691563,1125.362396
92815,0.06397223,192.2228782,90.07027194,355.1029072,340.8018366,192.866173
92603,0.206790842,192.2191425,111.7133871,567.8874281,497.3998462,423.6340382
93004,0.179929954,191.8582561,76.3300044,503.2997239,331.4956037,248.3736664
91799,1.512308235,191.6983033,60.86448314,683.3598907,2409.434922,1129.129262
92943,0.16436138,191.6653167,87.67724821,536.3161641,322.1014897,272.1978074
92756,0.051235103,191.439821,94.86185628,301.7407406,325.3939733,239.8873189
127391,0,191.2910384,57.00604053,321.9159411,211.8883765,183.539344
127390,0,190.4840127,55.81900865,280.414612,214.4011362,184.6095168
91892,0,190.0211322,60.82577808,331.3626278,180.852077,139.2133045
92351,0.125747113,189.9284549,35.63231371,412.1794943,609.5168196,364.5303712
91891,0.360561548,188.8343504,55.62884184,1098.994115,2368.288403,1008.140121
92284,0.113506325,188.6624164,41.40204199,406.4589586,655.2937795,335.1286387
91872,0.411827937,188.543713,83.91453147,552.7825577,1005.66214,311.7840346
92996,0.169613964,188.5193668,125.8023518,531.0129324,457.3522595,571.4608815
127392,0,187.8614469,65.97459408,382.2179431,214.2719465,224.6763813
89479,0,187.2265677,82.28034436,343.4169842,213.6997418,132.8813922
92880,0.101300781,186.7024316,90.2198423,464.910809,260.0236643,232.4926474
91861,0.224458456,186.6807317,114.3712588,492.3084953,685.038897,203.3914932
92421,0.092695743,185.9615029,40.98914935,379.024429,479.0061108,334.3101624
91870,0.317840977,185.9231303,100.545293,518.5812259,853.9880973,268.8892783
93060,0.132792269,185.9141294,141.614263,536.4560984,415.9915726,558.8937747
127427,0.049311047,185.4677369,125.8411169,396.1921019,276.7624216,228.3557962
127429,0.026926551,185.3288696,112.4897984,378.1292224,271.1191527,216.0925259
127348,0,184.2404589,73.18334808,318.575284,227.6000285,172.1655259
91945,0.186758166,183.9973222,125.5348661,503.1047205,603.8350881,173.5628925
92602,0.195406341,183.8462235,131.6372877,587.9030036,517.069344,434.1451494
92494,0.041026334,182.9710768,82.95602123,270.0022865,373.7019292,278.0961456
