PLSFILL_,County,RC_tree,CT_R16,RCT2012,RCT2013,RCT2014,RCT2015,RCT2016,STR_ID__14,Loc12,Loc13,Loc14,Loc15,Loc16,Loc17,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Loc15_17,STR_ID__15,HLB11,HLB12,HLB15,HLB16,HLB17,HLB_all
39102,Sacramento,2411,0.021863,0,0,0,0,0,39102,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39104,Sacramento,2731,0.057871,0,0,0,0,0,39104,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
39106,Sacramento,3041,0.0242,0,0,0,0,0,39106,0,0,0,0,10,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0
39107,Sacramento,2419,0.044323,0,0,0,0,0,39107,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
39227,Sacramento,3248,0.068962,0,0,0,0,0,39227,0,0,0,0,7,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0
39261,El Dorado,812,0.147437,0,0,0,0,0,39261,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0
39263,Yolo,3034,0.306094,0,0,0,0,0,39263,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39267,Yolo,2911,0.243695,0,0,0,0,0,39267,0,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0
39343,Sacramento,4013,0.020275,0,0,0,0,0,39343,0,0,0,0,7,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0
39352,Sacramento,1597,0.021188,0,0,0,0,0,39352,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39454,Sacramento,834,0.067365,0,0,0,0,0,39454,0,0,0,0,0,5,0,0,0,0,0,5,2,0,0,0,0,0,0,0
39583,Sacramento,2035,0.087353,0,0,0,0,0,39583,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39609,Sacramento,872,0.038781,0,0,0,0,0,39609,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39610,Sacramento,408,0.031786,0,0,0,0,0,39610,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39717,Sacramento,753,0.017974,0,0,0,0,0,39717,1,0,0,0,0,3,2,0,0,0,0,3,1,0,0,0,0,0,0,0
39850,Sacramento,2380,0.055437,0,0,0,0,0,39850,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39853,Sacramento,1816,0.012264,0,0,0,0,0,39853,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
39854,Sacramento,1022,0.03034,0,0,0,0,0,39854,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39959,Sacramento,2117,0.088401,0,0,0,0,0,39959,0,0,0,0,0,4,0,0,0,0,0,7,1,0,0,0,0,0,0,0
39960,Sacramento,5136,0.115495,0,0,0,0,0,39960,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40074,Sacramento,8798,0.137944,0,0,0,0,0,40074,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40092,Sacramento,1742,0.064452,0,0,0,0,0,40092,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0
40118,Yolo,3431,0.439355,0,0,0,0,0,40118,0,0,0,0,1,12,0,0,0,0,1,12,4,0,0,0,0,0,0,0
40229,Sacramento,1737,0.039418,0,0,0,0,0,40229,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0
40230,Sacramento,2504,0.021174,0,0,0,0,0,40230,1,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
40255,Yolo,4354,0.242427,0,0,0,0,0,40255,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40327,Sacramento,3201,0.073483,0,0,0,0,0,40327,0,0,0,0,0,18,0,0,0,0,0,21,6,0,0,0,0,0,0,0
40328,Sacramento,3591,0.036244,0,0,0,0,0,40328,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40335,Sacramento,669,0.038434,0,0,0,0,0,40335,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40373,Yolo,1548,0.189807,0,0,0,0,0,40373,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
40445,Sacramento,3438,0.244086,0,0,0,0,0,40445,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40928,Sacramento,4532,0.269864,0,0,0,0,0,40928,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,0,0,0,0,0
40935,Sacramento,1328,0.015331,0,0,0,0,0,40935,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
40938,Sacramento,185,0.015247,0,0,0,0,0,40938,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41041,Yolo,31,0.000753,0,0,0,0,0,41041,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41174,Sacramento,2956,0.1824,0,0,0,0,0,41174,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
41319,Sacramento,442,0.04393,0,0,0,0,0,41319,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41581,Sacramento,62,0.000657,0,0,0,0,0,41581,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
43278,San Joaquin,226,0.000731,0,0,0,0,0,43278,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43411,San Joaquin,41,0.001638,0,0,0,0,0,43411,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43431,San Joaquin,42,0.001627,0,0,0,0,0,43431,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43989,San Joaquin,72,0.024069,0,0,0,0,0,43989,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43999,San Joaquin,618,0.002293,0,0,0,0,0,43999,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
44006,San Joaquin,490,0.009605,0,0,0,0,0,44006,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44138,San Joaquin,2929,0.021407,0,0,0,0,0,44138,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
44158,San Joaquin,3878,0.204396,0,0,0,0,0,44158,0,0,0,5,2,4,0,0,0,5,2,4,4,0,0,0,0,0,0,0
44161,San Joaquin,347,0.177289,0,0,0,0,0,44161,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
44308,San Joaquin,3445,0.327932,0,0,0,0,0,44308,0,0,5,5,0,0,0,0,5,5,0,0,2,0,0,0,0,0,0,0
44309,San Joaquin,324,0.066363,0,0,0,0,0,44309,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
44327,San Joaquin,2837,0.055055,0,0,0,0,0,44327,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
44460,San Joaquin,3455,0.182968,0,0,0,0,0,44460,0,0,0,0,3,5,0,0,0,0,3,5,3,0,0,0,0,0,0,0
44465,San Joaquin,1584,0.033275,0,0,0,0,0,44465,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
44621,Calaveras,289,0.000172,0,0,0,0,0,44621,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44770,San Joaquin,110,0.004728,0,0,0,0,0,44770,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44926,San Joaquin,101,0.004709,0,0,0,0,0,44926,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
45030,San Joaquin,1566,0.025084,0,0,0,0,0,45030,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
45031,San Joaquin,2029,0.027719,0,0,0,0,0,45031,0,0,0,1,3,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0
45033,San Joaquin,2532,0.040574,0,0,0,0,0,45033,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38180,Placer,163,0.000506,0,0,0,0,0,38180,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39105,Sacramento,2610,0.035773,0,0,0,0,0,39105,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
39354,Sacramento,2228,0.02199,0,0,0,0,0,39354,0,0,0,0,0,6,0,0,0,0,0,6,2,0,0,0,0,0,0,0
41428,Sacramento,2270,0.0729,0,0,0,0,0,41428,0,0,0,0,1,6,0,0,0,0,1,6,2,0,0,0,0,0,0,0
44470,Calaveras,369,0.000174,0,0,0,0,0,44470,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
45064,San Joaquin,499,0.005038,0,0,0,0,0,45064,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45177,San Joaquin,3368,0.076246,0,0,0,0,0,45177,0,0,0,3,1,3,0,0,0,3,1,3,2,0,0,0,0,0,0,0
45210,San Joaquin,1576,0.076811,0,0,0,0,0,45210,0,0,0,1,1,1,0,0,0,1,1,4,1,0,0,0,0,0,0,0
45223,San Joaquin,2217,0.176628,0,0,0,0,0,45223,0,0,0,2,1,2,0,0,0,2,4,2,2,0,0,0,0,0,0,0
45225,San Joaquin,2357,0.02411,0,0,0,0,0,45225,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
45228,San Joaquin,692,0.032449,0,0,0,0,0,45228,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
45320,San Joaquin,3121,0.055825,0,0,0,0,0,45320,0,0,0,2,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
45329,San Joaquin,2890,0.082786,0,0,0,0,0,45329,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
45338,San Joaquin,3740,0.199722,0,0,0,0,0,45338,0,0,0,4,3,0,0,0,0,4,3,0,2,0,0,0,0,0,0,0
45344,San Joaquin,496,0.000876,0,0,0,0,0,45344,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45347,San Joaquin,2746,0.173349,0,0,0,0,0,45347,0,0,0,2,3,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0
45446,San Joaquin,3939,0.042023,0,0,0,0,0,45446,0,0,0,0,5,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0
45448,San Joaquin,1764,0.023696,0,0,0,0,0,45448,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45458,San Joaquin,3648,0.125157,0,0,0,0,0,45458,0,0,0,7,0,2,0,0,0,7,0,2,3,0,0,0,0,0,0,0
45471,San Joaquin,3266,0.126358,0,0,0,0,0,45471,0,0,0,7,4,3,0,0,0,7,4,3,5,0,0,0,0,0,0,0
45477,San Joaquin,2761,0.126565,0,0,0,0,0,45477,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0
45481,San Joaquin,526,0.014157,0,0,0,0,0,45481,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45571,San Joaquin,2755,0.1107,0,0,0,0,0,45571,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
