STR,HLBct12,HLBct13,HLBct14,HLBct15,HLBct16,HLBct17,Treect12,Treect13,Treect14,Treect15,Treect16,Treect17,ACPct12,ACPct13,ACPct14,ACPct15,ACPct16,ACPct17,HLB_FRisk
92986,0,0,0,0,0,26.14488747,0.2569371,0.016253544,0.114553949,0.194203365,0.184770352,14.2136889,0,0,0.121299405,0.695809446,0.431472684,8.904399396,51.27827561
92922,0,0,0,0,0,24.38933055,0.4996002,0.068790697,0.159127053,0.181143759,0.174628652,17.05727208,0,0,0.122193444,0.865410526,0.480459793,7.279155679,51.27711243
92999,0,0,0,0,7.511016497,9.299820496,0,0.013624533,0.019131186,0.238559638,10.79640118,12.13673841,0,0.591740183,0.027089196,1.63930147,6.116433436,2.78790972,51.17776594
92342,0.059148206,0,0,0.618896772,0.935275136,30.81287097,0.206803448,0.644262103,0.965663877,1.452607768,1.138764946,3.252337822,0,0.155883057,0.241834092,3.362741749,2.800422009,4.250736592,50.89824855
91797,0.030774069,0,0,2.179891004,3.277724192,12.41000767,0.111682006,0.345977677,0.493768482,3.622664464,3.646984301,8.449501373,0,0.111746654,0.129261843,2.517145927,6.656220189,5.98142239,49.96477224
93306,0,0,0,0,0,33.9298278,0.026033709,0,0.758028278,0.31927011,0.15584557,6.910981424,0,0,0.334060482,1.86602189,0.259573595,4.6970211,49.25666396
92055,0,0,0,2.553482178,3.239632151,15.13365746,0.048379881,0.132637609,0.120729553,3.71936304,2.943354259,6.556259093,0,0.102240615,0.049671372,2.445406586,5.18496445,6.971318792,49.20109704
92990,0,0,0,0,0.162856389,30.8499668,0.053333285,0.022614068,0.133363723,0.26065803,0.327824152,9.291443458,0,0.037194098,0.133032815,1.508097428,0.669318072,5.358692587,48.80839491
92126,0.028574621,0,0,1.821926377,2.406423054,20.61186017,0.101586081,0.312633027,0.462350906,3.198170711,2.271067889,5.16124232,0,0.127973589,0.116388461,2.334172301,4.505380275,5.220508933,48.68025872
92273,0.059902019,0,0,0.764452243,1.034510306,28.40239148,0.211903933,0.647113288,0.973008375,1.683911215,1.282371289,3.389452934,0,0.160608315,0.244211001,2.620652179,3.128814076,4.053107236,48.65640989
92481,0.033454295,0,0,0.443093586,0.736314898,29.43908863,0.11589894,0.361095818,0.547655207,1.748376377,0.940376028,2.902595358,0,0.319031908,0.135979853,3.21131167,2.261248372,5.247212382,48.44273332
92332,0.722455291,0,0,0.142362017,0.733429969,5.070404914,2.14861174,8.005175218,13.18233316,0.362256349,2.108639913,2.083062184,0,0.218693298,2.978637917,3.566787186,3.756126507,2.714281993,47.79325766
